A_id,B_id
1774,1089
2635,1089
182,2074
737,1089
1942,592
2531,2417
1114,101
1666,2834
691,1227
1009,2178
2327,1500
2402,923
823,2635
264,1500
731,2722
1534,20
823,2217
823,1882
1324,1840
2785,2983
270,1840
0,2676
304,2618
1849,2772
1895,2426
1114,1303
1071,844
344,194
319,491
2314,1500
2317,545
1701,1591
1824,2251
425,1901
233,1500
1723,628
1386,1500
2166,1227
2968,903
2206,2771
334,2806
1363,2930
1440,2679
1333,2219
1107,1714
1014,2577
